sample	group	Strain or Stock	Biological_ID	uniqueness_suffix	Description	Organ/Tissue	Age	Sex	Biological Replicate	RNA sample = total RNA or polyA +	Read Type	Stranded/Unstranded	Library Type	Library ID#	# of Mate Pairs	# of Single Reads	Ribosomal Depletion	Spike In Pool	Published/PMINS	SRA Run Accession
SRS004859	Dauer	C. elegans N2	DauerDAF2	a	dauer daf-2(el370) polyA+	Whole organism	dauer	hermaphrodite	1	PolyA(+)	1X36	Unstranded	N.D.	N/A	0	"31,472,949"	No	N/A	Y; 21177976	
SRS269390	Dauer	C. elegans N2	DauerDAF2-2	b	dauer daf-2(el370) polyA+ biological replicate 2	Whole organism	dauer	hermaphrodite	2	PolyA(+)	1X76	Unstranded	N.D.	N/A	0	"5,153,389"	No	N/A	Y;  21177976	
SRS269389	Dauer	C. elegans N2	DauerDAF2-2-1	c	dauer daf-2(el370) polyA+ biological replicate 2-1	Whole organism	dauer	hermaphrodite	1-Feb	PolyA(+)	2X100	Unstranded	N.D.	N/A	"29,698,377"	0	No	N/A	Y;  21177976	
SRS269391	Dauer	C. elegans N2	DauerDAF2-5-1	d	dauer daf-2(el370) polyA+ biological replicate 5-1	Whole organism	dauer	hermaphrodite	1-May	PolyA(+)	2X100	Unstranded	N.D.	N/A	"37,499,023"	0	No	N/A	Y;  21177976	
SRS003005	L1	C. elegans N2	L1	a	N2 L1 larva polyA+	Whole organism	L1	hermaphrodite	0	PolyA(+)	2X36	Unstranded	N.D.	N/A	"42,336,602"	0	No	N/A	Y; 21177976	
SRS151153	L1	C. elegans N2	N2_L1-1	b	N2 L1 larva polyA+ biological replicate	Whole organism	L1	hermaphrodite	1	PolyA(+)	1X76	Unstranded	N.D.	N/A	0	"73,805,921"	No	N/A	Y;  21177976	
SRS001788	L2	C. elegans N2	L2	a	N2 L2 larva polyA+	Whole organism	L2	hermaphrodite	1	PolyA(+)	1X36	Unstranded	N.D.	N/A	0	"24,345,942"	No	N/A	Y;19181841	
SRS174229	L2	C. elegans N2	N2_L2-4	b	N2 L2 larva polyA+ biological replicate	Whole organism	L2	hermaphrodite	4	PolyA(+)	1X76	Unstranded	N.D.	N/A	0	"20,582,635"	No	N/A	Y;  21177976	
SRS001790	L3	C. elegans N2	L3	a	N2 L3 larva polyA+	Whole organism	L3	hermaphrodite	0	PolyA(+)	1X36	Unstranded	N.D.	N/A	0	"20,714,369"	No	N/A	Y;19181841	
SRS150938	L3	C. elegans N2	N2_L3-1	b	N2 L3 larva polyA+ biological replicate	Whole organism	L3	hermaphrodite	1	PolyA(+)	1X76	Unstranded	N.D.	N/A	0	"56,220,307"	No	N/A	Y;  21177976	
