sample	group	block	stage	Biological_ID	Description	Organ/Tissue	Age	Sex	Biological Replicate	RNA Fraction	Read Type	Stranded/Unstranded	Library Type	Library ID#	# of Mate Pairs	# of Single Reads	Ribosomal Depletion	Spike In Pool	Published/PMINS	
SRS004859	EE_0	polyA_earlyembronic	EE_0	N2_EE_50-0	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 0 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	"1X100,2X100,2X76"	Unstranded	N.D.	N/A	"18,133,008"	"265,627"	No	N/A	SRS258165	Y; 21177976
SRS269390	EE_30	polyA_earlyembronic	EE_30	N2_EE_50-30	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 30 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	"1X100,2X100,2X76"	Unstranded	N.D.	N/A	"11,432,603"	"785,858"	No	N/A	SRS258085	Y;  21177976
SRS269389	EE_60	polyA_earlyembronic	EE_60	N2_EE_50-60	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 60 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	"2X100,2X76"	Unstranded	N.D.	N/A	"10,589,168"	0	No	N/A	SRS242229	Y;  21177976
SRS174229	EE_210	polyA_earlyembronic	EE_210	N2_EE_50-210	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 210 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	"1X100,2X100"	Unstranded	N.D.	N/A	"9,760,861"	"701,572"	No	N/A	SRS266275	Y; 21177976
SRS001790	EE_240	polyA_earlyembronic	EE_240	N2_EE_50-240	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 240 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	2X100	Unstranded	N.D.	N/A	"9,391,671"	0	No	N/A	SRS266270	Y; 21177976
SRS150938	EE_300	polyA_earlyembronic	EE_300	N2_EE_50-300	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 300 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	2X100	Unstranded	N.D.	N/A	"12,182,604"	0	No	N/A	SRS266880	Y; 21177976
SRS001791	EE_330	polyA_earlyembronic	EE_330	N2_EE_50-330	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 330 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	2X100	Unstranded	N.D.	N/A	"10,873,497"	0	No	N/A	SRS266265	Y; 21177976
SRS004864	EE_360	polyA_earlyembronic	EE_360	N2_EE_50-360	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 360 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	2X100	Unstranded	N.D.	N/A	"10,788,062"	0	No	N/A	SRS266266	Y; 21177976
SRS003000	EE_390	polyA_earlyembronic	EE_390	N2_EE_50-390	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 390 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	"1X100,2X100"	Unstranded	N.D.	N/A	"10,313,574"	"645,881"	No	N/A	SRS266267	Y; 21177976
SRS174140	EE_420	polyA_earlyembronic	EE_420	N2_EE_50-420	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 420 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	2X100	Unstranded	N.D.	N/A	"11,836,263"	0	No	N/A	SRS266268	Y; 21177976
