sample	group	block	stage	Biological_ID
0A	EMB_0	wholeRNA_earlyembryonic	EE_0	20120223_EMB-0
0B	EMB_0	wholeRNA_earlyembryonic	EE_0	20120411_EMB-0
30A	EMB_30	wholeRNA_earlyembryonic	EE_30	20120223_EMB-30
30B	EMB_30	wholeRNA_earlyembryonic	EE_30	20120419_EMB-30
60A	EMB_60	wholeRNA_earlyembryonic	EE_60	20120223_EMB-60
60B	EMB_60	wholeRNA_earlyembryonic	EE_60	20120411_EMB-60
90A	EMB_90	wholeRNA_earlyembryonic	EE_90	20120223_EMB-90
90B	EMB_90	wholeRNA_earlyembryonic	EE_90	20120411_EMB-90
90C	EMB_90	wholeRNA_earlyembryonic	EE_90	20120419_EMB-90
120A	EMB_120	wholeRNA_earlyembryonic	EE_120	20120223_EMB-120
120B	EMB_120	wholeRNA_earlyembryonic	EE_120	20120411_EMB-120
120C	EMB_120	wholeRNA_earlyembryonic	EE_120	20120419_EMB-120
150A	EMB_150	wholeRNA_earlyembryonic	EE_150	20120223_EMB-150
150B	EMB_150	wholeRNA_earlyembryonic	EE_150	20120411_EMB-150
150C	EMB_150	wholeRNA_earlyembryonic	EE_150	20120419_EMB-150
180A	EMB_180	wholeRNA_earlyembryonic	EE_180	20120223_EMB-180
180B	EMB_180	wholeRNA_earlyembryonic	EE_180	20120411_EMB-180
180C	EMB_180	wholeRNA_earlyembryonic	EE_180	20120419_EMB-180
210A	EMB_210	wholeRNA_earlyembryonic	EE_210	20120223_EMB-210
240A	EMB_240	wholeRNA_earlyembryonic	EE_240	20120223_EMB-240
240B	EMB_240	wholeRNA_earlyembryonic	EE_240	20120411_EMB-240
240C	EMB_240	wholeRNA_earlyembryonic	EE_240	20120419_EMB-240
270A	EMB_270	wholeRNA_earlyembryonic	EE_270	20120223_EMB-270
270B	EMB_270	wholeRNA_earlyembryonic	EE_270	20120419_EMB-270
300A	EMB_300	wholeRNA_earlyembryonic	EE_300	20120223_EMB-300
300B	EMB_300	wholeRNA_earlyembryonic	EE_300	20120411_EMB-300
300C	EMB_300	wholeRNA_earlyembryonic	EE_300	20120419_EMB-300
330A	EMB_330	wholeRNA_earlyembryonic	EE_330	20120223_EMB-330
330B	EMB_330	wholeRNA_earlyembryonic	EE_330	20120419_EMB-330
360A	EMB_360	wholeRNA_earlyembryonic	EE_360	20120223_EMB-360
360B	EMB_360	wholeRNA_earlyembryonic	EE_360	20120411_EMB-360
360C	EMB_360	wholeRNA_earlyembryonic	EE_360	20120419_EMB-360
390A	EMB_390	wholeRNA_earlyembryonic	EE_390	20120223_EMB-390
420A	EMB_420	wholeRNA_earlyembryonic	EE_420	20120223_EMB-420
420B	EMB_420	wholeRNA_earlyembryonic	EE_420	20120419_EMB-420
450A	EMB_450	wholeRNA_earlyembryonic	EE_450	20120223_EMB-450
450B	EMB_450	wholeRNA_earlyembryonic	EE_450	20120419_EMB-450
480A	EMB_480	wholeRNA_earlyembryonic	EE_480	20120223_EMB-480
510A	EMB_510	wholeRNA_earlyembryonic	EE_510	20120223_EMB-510
540A	EMB_540	wholeRNA_earlyembryonic	EE_540	20120223_EMB-540
570A	EMB_570	wholeRNA_earlyembryonic	EE_570	20120223_EMB-570
600A	EMB_600	wholeRNA_earlyembryonic	EE_600	20120223_EMB-600
600B	EMB_600	wholeRNA_earlyembryonic	EE_600	20120411_EMB-600
