"","EE-DF5081_EE","L2-DF5081_L2","L4-DF5081_L4","Ad_female-DF5081_ADF","Ad_male-DF5081_ADM"
"WBGene00119208",2.62996805155904,3.89622511589544,3.5858467400116,4.03972505754232,4.25888974230359
"WBGene00119211",-0.686606808834114,-1.45590321676763,-4.85294511256666,-1.34464361212095,6.38949613042304
"WBGene00119213",1.63532128605325,2.50899298227646,1.02969793679518,-0.652765907483286,0.883464098923602
"WBGene00119214",4.25024920817369,3.81807165489681,5.53399513275765,4.25183287661724,1.83455449844266
"WBGene00119215",1.9072338432335,4.79056333954768,3.48244524212727,1.25869741791506,3.13980385218339
"WBGene00119219",-5.44149431099758,-5.15634293490872,-4.85294511256666,-5.04508333026205,2.33412550793317
"WBGene00119223",-0.397100191639129,1.28660056094001,-0.460627689787897,-0.401227140487322,0.0354671923686522
"WBGene00119224",-1.74105459285649,0.12905928395353,-1.15250539442556,-1.87515832881973,7.96691387766732
"WBGene00119227",7.36041609189945,5.01232918322351,4.82829329921115,3.00476521918851,1.32234834015681
"WBGene00119230",2.1509627262705,-0.111948815550265,0.27633790437831,-0.290195828098578,0.345807312980803
"WBGene00119233",-2.63413938893998,1.41351267342223,0.27633790437831,0.446769766067628,2.75793321683974
"WBGene00119236",4.93680054491431,5.10222309898121,4.63288419613525,6.26723241642806,6.05783500539711
"WBGene00119238",2.2658648210833,0.398245916768919,0.356508253062293,1.22170321043285,1.11953145715713
"WBGene00119241",4.22561723107745,6.80184724878502,5.72731345493313,3.15948781398716,4.33119021690862
"WBGene00119243",3.00558891521207,4.41919631192581,4.68038461973918,2.68962628996379,4.49751951116508
"WBGene00119242",7.71284914924587,9.30174321473537,9.05741654603647,9.02075350107304,10.1035467896344
"WBGene00119245",4.77646338686653,1.66383602750647,4.38306907933343,1.46271130993665,1.17297071611859
"WBGene00119246",4.03221143862183,2.22736135756533,1.12433481093326,-0.290195828098578,-2.28646090251871
"WBGene00119248",5.91330603335301,4.51784933323697,3.65880754120072,3.29921257765377,4.227661357652
"WBGene00119249",0.489243026565304,-1.06888009365838,-0.765482271316317,0.977284482766408,4.34871304415621
"WBGene00119250",3.00558891521207,1.50186854784308,1.41384142812824,3.73299379927331,0.946199854271565
"WBGene00119252",0.535785612502334,2.13827781398291,2.64690077451655,2.38954489737468,4.01731984565839
"WBGene00119253",6.32710357119679,6.14800838675452,5.77732201246011,7.33564828242095,6.21577421233809
"WBGene00119254",2.66179349741444,-1.45590321676763,-0.209088922791932,-0.401227140487322,-2.28646090251871
"WBGene00119256",0.39139570316716,-1.06888009365838,-0.765482271316317,-2.72315523537468,4.09551457603859
"WBGene00119257",3.13215287649574,1.5579025827574,2.24508697039387,3.1496735241602,5.17133035773733
"WBGene00119261",7.86014477459479,8.78919234729313,9.05140726415471,9.19458977806853,7.88070631800743
"WBGene00119262",2.83927645913302,2.53714402259061,2.3662234078955,4.42862241935737,1.62042969308981
"WBGene00119263",0.7082528085071,-0.40145543274525,0.27633790437831,-2.72315523537468,-4.60838899740607
"WBGene00119264",2.81117112145267,2.6702055523822,2.76910670688972,2.92646022368873,2.82623923023065
"WBGene00119266",3.30333952650196,1.63807293144139,1.21314407789112,-0.187102335134474,1.58143556147394
"WBGene00119267",0.825292229697319,1.58512405149243,0.701643739110981,-0.401227140487322,1.32234834015681
"WBGene00119268",7.13899981777971,6.74640900994144,6.10922791854305,5.02771920428216,5.02642205276565
"WBGene00119269",-0.797638121222857,-1.98641793346641,-1.39351349392936,-5.04508333026205,-2.28646090251871
"WBGene00119272",5.85025196983636,5.39344173303914,5.60340930254163,6.24089677566617,5.47242853020225
"WBGene00119280",0.7082528085071,2.34350295217449,1.29680200693803,0.381181424440052,0.601064368222877
"WBGene00119281",6.3071178657394,7.06312813248564,5.29807142632559,6.15887637297742,4.93270761794345
"WBGene00119283",3.19875062522476,5.4775604744398,5.42666546848583,3.06865883578714,4.27119425220671
"WBGene00119282",4.56272615532061,3.26572183126409,3.08369282643591,4.89302599595719,3.77098936966519
"WBGene00119284",3.06233142699817,2.04332940992765,2.67843634794966,6.71854402146558,5.81472691274103
"WBGene00119285",-1.98206269236028,-1.98641793346641,-3.2679826118455,-2.72315523537468,3.54642911164603
"WBGene00119287",10.1860680714365,11.3825280113998,11.8296243443657,11.1226680082825,11.0960820714962
"WBGene00119286",1.87138864428677,5.95022000553617,7.28244353901239,2.97172495742451,2.85921655267692
"WBGene00119292",6.23578488031459,6.42908911668424,5.94714587505834,6.80079870412201,5.31493848801312
"WBGene00119295",5.13687838036322,4.51076860716631,5.18460184139552,6.05886009962951,4.49227334159913
"WBGene00119294",2.90280159691824,2.42108589312703,6.70499717422079,3.28134615686026,3.28035425149219
"WBGene00119296",6.10877149587116,5.90367741959913,6.43419007352005,5.80119058108786,6.58081783719095
"WBGene00119297",2.78250736320052,2.91511942764791,2.54793432371553,2.76869786095499,2.85921655267692
"WBGene00119298",5.35048250990111,3.83517891116698,3.69008670768858,5.26666498474291,3.79675246573027
"WBGene00119299",4.91495765922417,3.90164878785046,3.70547560070201,4.33645962092254,2.61077952305609
"WBGene00119301",5.1649109017002,4.50721516930856,6.40385327351273,3.10973477879006,3.72700135728785
"WBGene00119307",4.31839387222425,0.952181521869451,1.83355541461656,2.90328390132263,1.11953145715713
"WBGene00119308",0.173215533117626,-0.764025512129958,-1.68302011112434,-1.58565171162475,-0.520926156155733
"WBGene00119311",7.35515373041626,7.6810878953126,6.64340937599796,7.11321077334199,7.7070436404993
"WBGene00119314",3.86456737843076,0.45836690920649,2.70929731165442,-0.957620489011707,-1.14895737876878
"WBGene00119317",6.67322407819084,6.16502149713073,5.64988669150009,6.82489600263792,5.92785821828206
"WBGene00119319",0.39139570316716,0.571577519654481,0.979944901598085,0.837559719099795,0.2495919977215
"WBGene00119320",2.5185076210705,0.45836690920649,3.79451331388826,3.73955151529547,3.12632062281977
"WBGene00119321",5.93082664386968,4.90570320281177,4.58792405504421,4.90474338049706,4.43327015423114
"WBGene00119322",4.35778731052434,5.35046050288693,4.78186593760506,2.90328390132263,4.43873491470795
"WBGene00119323",-0.487298000610707,-0.0270599179637518,-0.765482271316317,-0.652765907483286,6.73312982583917
"WBGene00119326",-2.27156930955527,-0.764025512129958,-4.85294511256666,-1.87515832881973,-2.28646090251871
"WBGene00119327",4.28472384833462,3.87983067764477,4.55432265167808,3.95773168534501,3.73590691050974
"WBGene00119328",3.96577345324715,7.17149036184161,5.75715695043301,4.54175645769978,7.33375892298878
"WBGene00119330",3.85542189588171,1.18350706797591,2.51337710167916,2.98282266630784,1.00632084670914
"WBGene00119332",1.32669001377934,-1.45590321676763,-1.15250539442556,-1.34464361212095,-2.28646090251871
"WBGene00119337",-5.44149431099758,-5.15634293490872,-4.85294511256666,-5.04508333026205,3.56653668509461
"WBGene00119338",7.60648160317327,5.76177491612305,6.442249843314,7.11636351725596,5.9775124522847
"WBGene00119340",2.10540014889005,2.69540610650734,2.88176450765918,2.15458901457432,1.89940564279262
"WBGene00119339",2.08988714951873,2.57836668531712,2.69394934732098,4.76066054188957,2.96903983062968
"WBGene00119345",1.92482790324823,-0.0270599179637518,1.74696772962047,1.6963836561391,0.436005121952381
"WBGene00119350",5.24237755762502,4.30103794416382,3.93168973299086,4.72805587645764,4.17624584815145
"WBGene00119352",3.10925247438566,2.63155962448271,3.29171313026523,4.10212159468018,4.00999650485253
"WBGene00119353",3.38822842408848,5.691497420722,4.5242654178219,2.60596836091688,3.89543674058968
"WBGene00119354",0.898355691887043,2.42108589312703,1.07779222499623,-0.187102335134474,-0.360461483962487
"WBGene00119356",4.4788585444175,2.86046535277784,3.6348949212564,3.58062551280242,2.740339156825
"WBGene00119355",9.28019234862855,4.10340032878206,2.1582821428566,5.36112167515681,0.883464098923602
"WBGene00119358",4.03626395544631,4.96130016648037,5.44282382185385,4.38327684244225,4.90928039072774
"WBGene00119357",4.08402649809749,3.3632933179345,4.1099508927706,3.65188419597224,4.2650551151093
"WBGene00119360",2.80167967247537,0.726300114453123,-0.605017599123071,-1.34464361212095,-1.80103407534847
"WBGene00119361",-0.232040945368632,-1.06888009365838,-1.15250539442556,-3.46012082954089,-4.60838899740607
"WBGene00119362",5.3874355166539,4.97936635119568,5.13431889950588,5.71729870844835,3.62523067935363
"WBGene00119363",7.16883849091355,6.49246401481705,5.1596794262984,6.54128736485192,4.92494073489976
"WBGene00119364",3.65390271179497,3.1336759120239,3.41851791533772,0.312468674356037,3.93464282284917
"WBGene00119365",7.54025133463699,7.81860933862533,8.71939984323362,7.47234001113443,8.20278497331525
"WBGene00119370",5.84910057708499,2.04332940992765,3.29171313026523,5.09062595584235,3.95766504076502
"WBGene00119373",2.39770947709936,-2.83441484002136,-4.85294511256666,-0.000689210903593028,-2.28646090251871
"WBGene00119375",-0.58351331587001,-3.57138043418756,-3.2679826118455,-3.46012082954089,-4.60838899740607
"WBGene00119374",2.5641302381963,6.50854873437737,5.62582450690911,6.10021200467155,6.30075404993382
"WBGene00119378",3.14722032458468,2.52313716459673,5.20369260254654,-1.34464361212095,-2.28646090251871
"WBGene00119377",2.04232146626667,7.56625116404787,11.3189548845978,7.41511656479754,7.82649980912432
"WBGene00119376",4.51995538340061,3.90164878785046,4.2318632752377,4.91056657726633,4.37745293959727
"WBGene00119379",5.34068488283363,5.80583009620099,5.66570804310673,5.37382340099585,6.01457794738444
"WBGene00119380",6.03980059363352,5.89282493746345,6.0441440157461,7.30889049155612,5.62403192977
"WBGene00119382",3.76552000917995,-0.908415421465133,0.356508253062293,0.0841996866829198,-0.360461483962487
"WBGene00119385",7.38047892448354,5.92247501505326,5.95199255948525,6.96649337291413,7.03861964103557
"WBGene00119386",0.580873502030872,2.57836668531712,1.86130040509947,1.61312815248975,2.99894131634354
"WBGene00119388",6.91907847048311,6.41966893929806,6.21381681982025,6.07580251252574,7.98102807836254
"WBGene00119389",4.15283029292727,3.32343732912038,2.85441401951423,1.49407548084598,1.27425405195577
"WBGene00119390",6.32627633777912,5.84436133410253,5.86387434876329,6.81173122224096,6.6258296808324
"WBGene00119392",-2.63413938893998,-0.764025512129958,-2.53101701767929,-5.04508333026205,4.20859462584931
"WBGene00119393",3.17689119126102,4.63319071006164,4.94309449626311,4.15704049356841,5.20378830810837
"WBGene00119394",4.73965794586798,3.09632249754153,3.74324464357775,5.4397395640001,2.53116235499272
"WBGene00119395",3.2202837867744,-1.06888009365838,2.20233732293453,0.93219659323787,1.86734443356033
"WBGene00119396",4.40556303509375,2.60520829753576,2.70929731165442,2.84365991863621,1.65839754328883
"WBGene00119397",1.69805704140121,-2.83441484002136,1.83355541461656,-0.401227140487322,-0.520926156155733
"WBGene00119398",7.13711424974017,5.39344173303914,5.44740744776156,6.20699071253414,5.33265860893451
"WBGene00119399",8.19252258468656,7.31202655220081,7.09286447233416,8.69057845920365,6.63418969204527
"WBGene00119400",3.95724938094061,3.43984682123569,1.37587357792922,0.164370035366903,0.883464098923602
"WBGene00119401",5.10057023128586,5.58090440811902,5.58688577141474,6.0390606803531,4.77747340323539
"WBGene00119404",6.29702022143169,5.2066966953478,4.96243818324688,5.89376112720412,4.77747340323539
"WBGene00119408",5.26154407798883,0.398245916768919,4.43014324045734,1.5247722780689,2.51055207531743
"WBGene00119410",-2.63413938893998,-3.57138043418756,-0.460627689787897,-0.797155816818461,5.35016371802494
"WBGene00119411",0.113094540680055,-5.15634293490872,-4.85294511256666,-5.04508333026205,-4.60838899740607
"WBGene00119414",3.74090004240695,1.44356990727841,0.573319642135441,1.36430760587566,0.2495919977215
"WBGene00119415",3.86911847066195,3.09632249754153,2.34672723226971,4.54175645769978,2.87542677985818
"WBGene00119416",2.23798578850786,4.43424411500632,3.11859844138412,2.99383565903026,3.7090236163588
"WBGene00119417",3.30333952650196,-0.202146624521843,0.356508253062293,-5.04508333026205,-4.60838899740607
"WBGene00119424",-1.53460371538906,-3.57138043418756,-4.85294511256666,-2.72315523537468,5.17460921151434
"WBGene00119425",-1.53460371538906,-1.2494523393002,-2.04559019050905,-1.34464361212095,-1.43846399596376
"WBGene00119428",5.85140244441159,5.70706902403292,5.11428114626934,6.95244901726432,5.88846477998197
"WBGene00119429",5.60084906879611,4.39632616260555,4.80705077986332,4.62910893788364,5.31493848801312
"WBGene00119432",6.70666446194031,4.24666908866628,4.7709363774468,7.02470206472126,6.63061276035951
"WBGene00119433",6.3500756011293,7.87415178484075,7.03389459331776,5.19451519898708,4.79887876683866
"WBGene00119435",5.1869512291396,4.16783761171002,4.50240598385816,3.16923579053872,3.77962828793906
"WBGene00119437",6.57287493123755,0.335510161420956,1.52209431878027,-2.72315523537468,2.15979532737085
"WBGene00119439",-0.797638121222857,-1.98641793346641,-1.39351349392936,-2.72315523537468,-2.28646090251871
"WBGene00119440",1.21671717175421,1.31939049605768,1.12433481093326,-1.13819273465353,-0.0848270413490599
"WBGene00119441",3.2415002726841,4.59017138622975,3.84402241366763,1.80040672068233,1.76665043394085
"WBGene00119445",1.92482790324823,1.25304800122898,0.191449006791797,-2.72315523537468,-0.907949279264981
"WBGene00119446",6.24018334421211,6.01545935377426,5.13147334623448,7.25154614402346,5.77855124791824
"WBGene00119449",6.30291909956007,4.84506525948409,4.5242654178219,5.10084881555847,3.95003171586259
"WBGene00119451",4.42114304656121,4.84224749483661,4.43476726698279,5.25526923006617,4.27119425220671
"WBGene00119452",3.90501942216805,1.71402178467469,2.22387048448417,3.6308737026797,2.93850546248156
"WBGene00119453",2.92044946273766,3.93905408788384,4.02663813704613,4.77669065170852,4.38879048353155
"WBGene00119454",3.13970627092738,4.84506525948409,5.01587744220834,4.34508562593814,4.24023394302327
"WBGene00119463",5.21224646770899,5.60104707445792,5.29298703325386,4.90474338049706,4.84899188166646
"WBGene00119466",4.2113506620044,4.44542785349899,4.82477452907435,4.90474338049706,3.78821578377579
"WBGene00119468",2.61920162068997,3.03841391951353,2.26599596015685,0.509505521415591,0.677013221456176
"WBGene00119469",0.825292229697319,1.5579025827574,2.01741960701675,0.787806683902695,0.601064368222877
"WBGene00119473",4.36424956115404,1.31939049605768,2.70929731165442,-0.521521374205034,-0.520926156155733
"WBGene00119474",4.12265517898815,1.50186854784308,0.928414600958003,-1.13819273465353,-1.80103407534847
"WBGene00119475",5.14252862925996,5.50632544060882,5.42666546848583,5.57971212559819,5.40143961996204
"WBGene00119477",8.17677646858267,8.54766875012061,8.9268768196354,8.43684220559861,8.99790053593946
"WBGene00119481",0.96789662514012,0.571577519654481,0.638907983763018,1.72310099451488,8.14545451090557
"WBGene00119482",3.50979040396939,4.85628160395634,5.24640269783654,4.25183287661724,4.56903054058316
"WBGene00119484",4.59055141593323,5.23059731041559,4.29933972973993,3.43469693376705,4.4496027253531
"WBGene00119488",3.0220300622736,0.866024878119736,0.00503588256091544,0.787806683902695,-0.701498401797554
"WBGene00119491",-0.58351331587001,-2.83441484002136,-4.85294511256666,-5.04508333026205,-4.60838899740607
"WBGene00119493",-0.397100191639129,-0.202146624521843,-2.53101701767929,-2.23772840820444,-4.60838899740607
"WBGene00119498",5.89779898918251,5.19127843365942,5.23053421476518,5.54643901630869,4.91321144231765
"WBGene00119497",4.78852612470805,4.53190737422446,4.08663410174804,4.63263631137896,3.95766504076502
"WBGene00119505",7.66817313325322,8.99125950334187,8.57998820406842,4.71812903655235,4.85717740740333
"WBGene00119503",-0.797638121222857,-2.83441484002136,0.761764731548551,3.95209615067557,13.3836586615928
"WBGene00119506",1.99313391663914,2.1745739432059,0.00503588256091544,-0.797155816818461,0.0354671923686522
"WBGene00119507",8.01164768897605,1.28660056094001,1.1694227004618,3.69300892935844,1.00632084670914
"WBGene00119509",4.34803933397278,4.86463700399549,4.76727471294083,4.39993151560638,4.94811705726586
"WBGene00119511",8.47541146541405,6.70047161759429,6.48076931352731,7.21495409084455,6.19008280369555
"WBGene00119514",1.47736892627701,0.993404184595964,0.504606892051427,-1.87515832881973,-0.907949279264981
"WBGene00119516",7.27896372739572,8.04746386757909,8.17823914957419,8.12468512025603,7.58359551595424
"WBGene00119518",0.862286437179521,-0.512486745133994,-2.53101701767929,-5.04508333026205,-1.43846399596376
"WBGene00119520",-3.11956621611022,-5.15634293490872,-4.85294511256666,-5.04508333026205,5.37032146170028
"WBGene00119522",6.92510111507386,7.43588048645068,7.70332143101634,8.64567857818393,8.89779459288664
"WBGene00119528",-3.11956621611022,2.37503852560759,4.49799406897977,6.37960786125091,6.28567084886795
"WBGene00119529",0.286426143565617,-0.298361939781146,0.504606892051427,-0.652765907483286,0.749163007212011
"WBGene00119530",-2.27156930955527,-2.83441484002136,-4.85294511256666,2.72970372933913,11.9794910459938
"WBGene00119531",6.63565520459215,5.76624146780495,5.72919686909212,6.90437864909811,6.80470998750919
