"","EE-a","EE-b","L2-a","L2-b","L4-a","L4-b","YA-a","YA-b"
"WBGene00000307",7.01644251421474,6.93465095425539,7.50118617884018,7.52291994034485,7.14419257591848,7.15142659612789,7.06027431462683,6.78705729330961
"WBGene00000312",4.62536569263108,4.99331150445111,3.57184073240396,4.12856985974693,4.01390454671351,4.43654144420572,4.57934270839537,5.13533511080981
"WBGene00000324",3.43048676385649,3.3712490868787,1.80630598604099,4.06950391888242,2.74381538334576,3.34974488248548,1.62388914734863,1.42595534831551
"WBGene00000328",5.92030708587733,5.93976346112522,4.69383125678257,4.7891396345107,5.31456402484722,4.24282967856897,5.10861952505283,5.16619607451457
"WBGene00000329",3.53028737084693,3.84409419150857,1.80630598604099,2.89418565866988,2.35679226023652,2.30605834813356,3.31409480809712,3.64522166866524
"WBGene00000332",5.44400234235223,5.62739460971297,11.2612221235558,8.96838125417665,11.2873021689283,8.88746615165563,8.21023194565067,8.30203814981839
"WBGene00000333",6.27557356184693,6.10831906909465,11.8661911871419,8.83983333937059,11.5754020657724,8.98847346091718,8.46067307761786,8.38449341776546
"WBGene00000343",-0.930381020297219,-1.3064053113461,-0.515622108846376,2.21026629886531,0.978280636982787,1.98296255181386,1.88041024622375,1.13644873112052
"WBGene00000365",-2.26598405208166,-2.89136781206725,2.65430289259594,-3.58154777229651,1.82627754353774,-1.87794183852048,12.2844488400646,12.2097225117389
"WBGene00023521",-1.44884810923147,-2.60186119487227,2.65430289259594,2.33969811628908,3.30020873187015,4.3349478805574,4.11626204013173,4.24161357410432
"WBGene00023523",-0.985876132888923,-1.01689869415111,-0.515622108846376,-0.175555412620676,-1.34364745790458,-0.410815828093182,-1.26363612339296,-1.11593843051376
"WBGene00023525",8.4464201187603,8.69812729150315,6.53966032665481,5.91949322326941,9.41207469573771,8.57175304086447,2.34517311928257,1.85188116373709
"WBGene00023526",3.58606236026009,3.85607926596728,7.51228388772351,5.17267166083863,7.83874689549995,6.8050527451612,7.21225939903374,7.07068563387031
"WBGene00023527",7.13844794704192,7.21701143862747,5.31726790531837,5.56972251649365,3.30020873187015,4.15483319757114,4.05684855462474,3.76526552143111
"WBGene00023528",-2.95786175671933,-3.7393647186222,-0.515622108846376,-1.99658527157536,-1.34364745790458,-1.10742368464325,-1.51517489038892,-0.67983931570709
"WBGene00023529",-8.99921086232984e-05,-1.10709650312269,-0.515622108846376,-5.90347586718388,2.35679226023652,0.953458557503775,1.21144875955582,0.351187579913535
"WBGene00023533",7.6910488733745,7.60881014891336,7.63919600020573,5.94240616720019,7.77788605943546,5.78655773369003,7.72493496087189,7.1977449103894
"WBGene00023536",7.92566272254645,7.89335790333195,9.35628312881281,7.47251382204603,9.88095722363392,7.43774052589898,8.65146644031722,8.41853611619978
"WBGene00023537",2.40509360642809,2.36077195266325,-0.515622108846376,1.94827317423218,0.241315042816581,0.748840837895303,-2.20705259502659,-5.2034012717641
"WBGene00023538",5.12264832388925,5.15969003757221,4.3423588862812,2.26143105949181,6.4179037745399,4.78194914970724,6.13176948117337,6.16128058410046
"WBGene00023539",2.7949691591502,2.9016031918277,1.80630598604099,2.30109527706533,1.82627754353774,1.72808227772851,-1.51517489038892,-0.559545081989378
"WBGene00023540",6.05099777785174,6.07152819327001,2.65430289259594,3.79522879958647,3.514333537223,4.53144909761722,4.74803840998796,5.32895465352474
"WBGene00023541",8.22238213745731,8.24811248386142,6.66428698116856,7.35905947334241,8.15020799133625,7.07128408902484,7.65391497641884,7.67943279978152
"WBGene00023542",5.17260980488236,5.06605672754956,3.87669531393238,4.13132309539339,5.13208597306182,4.14442597450797,5.72777234337183,5.4804705968585
"WBGene00023543",4.53830065166275,4.20900251296248,5.75116443184853,4.51543086407402,6.592990481098,4.94823274827828,4.80932714816227,4.65613351461855
"WBGene00023545",1.27833646414215,1.86351969009622,1.80630598604099,3.01836506989061,4.01390454671351,4.65389827564487,4.59533949089906,4.98271296777754
"WBGene00023546",-2.26598405208166,-1.81336530006598,-0.515622108846376,-3.58154777229651,1.82627754353774,-0.473551583441145,1.01137092410691,0.351187579913535
"WBGene00023547",6.97662299027468,7.31605330214678,1.80630598604099,5.43023855891009,4.76487699887359,5.04092139875412,1.38712843572394,1.39651157042303
"WBGene00023548",2.91345116864313,3.03410420928299,5.41511522871651,4.19849980376536,7.70347645420945,6.13427187508882,8.35276568664753,8.36894368403618
"WBGene00023549",1.82953855896263,1.71349424609161,-0.515622108846376,-5.90347586718388,-1.34364745790458,-5.96540467977082,-5.90749231316768,-2.88147317687674
"WBGene00023550",-6.65830147486042,-6.06129281350956,-0.515622108846376,-3.58154777229651,-1.34364745790458,-2.79547967832851,3.43458235483146,3.22705127990143
"WBGene00023552",5.02425426621989,4.96868453308002,6.40324112842822,5.85765978264477,4.53899559145727,4.40419266650786,3.91428166880288,3.70048057397208
"WBGene00023553",0.599086367832234,0.706891511267363,3.18481760929472,2.3957321512034,1.82627754353774,-0.350694835655611,-0.481227558465586,-0.448513769600634
"WBGene00023554",3.47484073754018,3.46422799558551,7.71799756791333,7.40415188007326,7.19162791871623,6.8720261504505,7.18642037049788,7.11655303892284
"WBGene00023555",6.3291401980757,6.4247879891424,6.42689239649286,6.4113905638693,5.47653150451061,5.55962666535318,6.05287169571015,6.32749270942982
"WBGene00023556",-1.16644837853074,-1.3064053113461,2.65430289259594,2.77951871649781,3.514333537223,2.36998567492311,2.45445146056756,2.16292094248171
"WBGene00023557",0.481249877538376,-0.130555475946677,1.80630598604099,1.15180656831731,-1.34364745790458,0.748840837895303,0.721864306911926,1.2059896643736
"WBGene00023558",-6.65830147486042,-6.06129281350956,-0.515622108846376,-1.25961967740915,-1.34364745790458,0.634508162416308,0.886923553182422,0.986423287115915
"WBGene00023559",2.00347662291157,2.26513667361274,-0.515622108846376,0.205048589594293,-1.34364745790458,-3.64347658488346,-1.51517489038892,-1.50296155362301
