"","EE--","L2--","L4--","Ad_female--","Ad_male--"
"WBGene00119208",2.65260341729662,3.90519432706834,3.59617797719404,4.04765133002481,4.26489826945109
"WBGene00119211",-0.475532596087393,-1.1285167572912,-3.04811967952493,-1.04584201487585,6.390870277573
"WBGene00119213",1.68007880746634,2.53233793068276,1.08942532221699,-0.460626662129921,0.94463604274553
"WBGene00119214",4.25765071315784,3.82753852639572,5.53667938462441,4.25867796079887,1.86651870286666
"WBGene00119215",1.94440101377482,4.79539552609177,3.49354119904102,1.31232045920471,3.15282349243671
"WBGene00119219",-3.04811967952493,-3.04811967952493,-3.04811967952493,-3.04811967952493,2.35680734903508
"WBGene00119223",-0.222176983671604,1.3404962061389,-0.298732924303851,-0.238162005496707,0.14377539158569
"WBGene00119224",-1.33264820947104,0.246638152395159,-0.899319782435759,-1.46113241050301,7.96737432098853
"WBGene00119227",7.36127495812067,5.01647380656357,4.83266873788485,3.02096033094206,1.3677243750619
"WBGene00119230",2.18241505276632,0.0260154147603436,0.375637454051981,-0.138597438839761,0.433777460744339
"WBGene00119233",-1.94914790478483,1.46294655337467,0.375637454051981,0.539626145586842,2.77487518610149
"WBGene00119236",4.94140373486235,5.10611767472129,4.6378932224408,6.26892834722603,6.05956416349214
"WBGene00119238",2.29493338155036,0.496475978321749,0.450611455691984,1.27669285043699,1.17163443989613
"WBGene00119241",4.23314586410416,6.80304719262421,5.72966132211002,3.17404421817239,4.33690561797202
"WBGene00119243",3.02306687899613,4.42544413254122,4.68523167456105,2.70974774463054,4.50261361790163
"WBGene00119242",7.71352184875967,9.30195520424241,9.05764995305384,9.0210048914492,10.1036513338121
"WBGene00119245",4.78160674351041,1.7055079806746,4.38902318097889,1.50937619481596,1.22321164028264
"WBGene00119246",4.04081695378643,2.25568969251653,1.18034260182213,-0.138597438839761,-1.81156529056744
"WBGene00119248",5.91564711373056,4.52368501759898,3.66863101106042,3.31243142590468,4.2338010880665
"WBGene00119249",0.58649651730195,-0.81211118016719,-0.567996782473504,1.04220083289678,4.35435957849105
"WBGene00119250",3.02306687899613,1.54841259653575,1.45982633678923,3.74279152040313,1.00482088799763
"WBGene00119252",0.630050352084572,2.16839181318673,2.66664269110036,2.41427909583967,4.02442094851042
"WBGene00119253",6.32886117629915,6.14989602090617,5.77958994357923,7.33645708593798,6.21732413686384
"WBGene00119254",2.68393876540413,-1.1285167572912,-0.0719073051649126,-0.238162005496707,-1.81156529056744
"WBGene00119256",0.495234018036667,-0.81211118016719,-0.567996782473504,-2.04660083695359,4.10224190034631
"WBGene00119257",3.14817096925918,1.60270075574606,2.27111254682873,3.16432878826379,5.17452560908808
"WBGene00119261",7.86075216922185,8.78949487002481,9.05164164637388,9.19481260371576,7.88119512294202
"WBGene00119262",2.85887558410961,2.56004141658389,2.39017024062842,4.43467968120838,1.65744312066996
"WBGene00119263",0.792198886927326,-0.234545075152783,0.375637454051981,-2.04660083695359,-3.04811967952493
"WBGene00119264",2.83115315056111,2.69110006686958,2.78725524021733,2.94355333213924,2.84240211711289
"WBGene00119266",3.31757416473459,1.68048480516967,1.26586844533088,-0.0454627534551656,1.61944981670817
"WBGene00119267",0.902869668099809,1.6290975019568,0.776232568965962,-0.238162005496707,1.3677243750619
"WBGene00119268",7.1400011480172,6.74765595142215,6.11102999841647,5.03172077235115,5.02995452687967
"WBGene00119269",-0.570940010670374,-1.53439677933425,-1.09871316264367,-3.04811967952493,-1.81156529056744
"WBGene00119272",5.85269756176987,5.39662516094003,5.60596756149216,6.24262393519862,5.47502240331606
"WBGene00119280",0.792198886927326,2.36965986376625,1.34660664376405,0.478214610203969,0.675128465808053
"WBGene00119281",6.30889997723534,7.0641293264203,5.30123208586746,6.16070452152998,4.93647687685037
"WBGene00119283",3.21404990240314,5.48056376730561,5.42955684342616,3.0841560975072,4.27715185478701
"WBGene00119282",4.56868919613289,3.27958370183458,3.09830361726291,4.89741858473344,3.77940879147842
"WBGene00119284",3.07913920987658,2.07546934283904,2.69775425192767,6.71978451293518,5.81677325726147
"WBGene00119285",-1.51039311405438,-1.53439677933425,-2.39512274618428,-2.04660083695359,3.55626175790607
"WBGene00119287",10.1861890087441,11.3825779209265,11.8296583003432,11.1227263727749,11.0961345010216
"WBGene00119286",1.90947860830758,5.95238483764987,7.2832427779449,2.98829310533779,2.87501616414187
"WBGene00119292",6.23765727744245,6.43064272354261,5.94916210345075,6.80197046133151,5.31783127820974
"WBGene00119295",5.14088626447563,4.51663294641952,5.18802084179861,6.06081941250326,4.49738597409467
"WBGene00119294",2.92156190494241,2.44588502037268,6.70618976297767,3.29472896753562,3.29217023139717
"WBGene00119296",6.11081611488125,5.90591318361636,6.435628839711,5.8035327697555,6.58202136194067
"WBGene00119297",2.80288755603412,2.93277142980289,2.56906783176247,2.78775321278227,2.87501616414187
"WBGene00119298",5.35393945107141,3.84453454680588,3.69970018160292,5.27005644808031,3.80502329349664
"WBGene00119299",4.91963096395392,3.91058444645903,3.71498740777328,4.34291558668327,2.62952901545988
"WBGene00119301",5.1688417612318,4.51309394179019,6.40532260394195,3.12479928557011,3.73568066687734
"WBGene00119307",4.32545472189179,1.01981200125795,1.86806998977831,2.92065216580955,1.17163443989613
"WBGene00119308",0.293319320923659,-0.55277023222025,-1.33015270492182,-1.23859547153924,-0.364332613255586
"WBGene00119311",7.3560157352448,7.68174025057129,6.64465396639304,7.11415440640764,7.70759499010593
"WBGene00119314",3.87422977991434,0.552715803946435,2.7282090337988,-0.723762203455793,-0.913610486218929
"WBGene00119317",6.67460689980446,6.16688701308966,5.65236390953284,6.82604835398651,5.92975030950281
"WBGene00119319",0.495234018036667,0.659017049231125,1.04172374559855,0.9089170347355,0.343435828407564
"WBGene00119320",2.54294579555222,0.552715803946435,3.80345758188121,3.74930495099936,3.13946196025952
"WBGene00119321",5.93313948449664,4.91016527794828,4.59309136468751,4.90910048920808,4.43859583343245
"WBGene00119322",4.36465841356622,5.35374009814295,4.78638425665617,2.92065216580955,4.44404049512589
"WBGene00119323",-0.301785693228966,0.103366190558923,-0.567996782473504,-0.460626662129921,6.73421278838589
"WBGene00119326",-1.7131550402331,-0.55277023222025,-3.04811967952493,-1.46113241050301,-1.81156529056744
"WBGene00119327",4.29195101380493,3.88890207553481,4.55961150706767,3.96612015270461,3.74453296691021
"WBGene00119328",3.97478327965463,7.17241911385977,5.75945678187583,4.54735773098853,7.33447311312263
"WBGene00119330",3.86514553865593,1.24131603918294,2.53501911932192,2.99926457395597,1.06259522810238
"WBGene00119332",1.38192168650952,-1.1285167572912,-0.899319782435759,-1.04584201487585,-1.81156529056744
"WBGene00119337",-3.04811967952493,-3.04811967952493,-3.04811967952493,-3.04811967952493,3.57623369253319
"WBGene00119338",7.60720578253511,5.76424159706316,6.44368059668184,7.11730509053886,5.9793405627592
"WBGene00119340",2.1378503836556,2.71594136935928,2.89855765478308,2.18365421930815,1.9299795981134
"WBGene00119339",2.12268424294875,2.60062402439526,2.71306200257994,4.76547453341152,2.98368719694474
"WBGene00119345",1.96155024431606,0.103366190558923,1.78359036593958,1.73616583049355,0.518793732767548
"WBGene00119350",5.24610316363848,4.30781777862014,3.93982498990411,4.73297972046805,4.18260785310538
"WBGene00119352",3.12552542106441,2.65301721999524,3.30437059418372,4.1097132337086,4.01713365755802
"WBGene00119353",3.40165341095242,5.69408713784882,4.52966541463476,2.62728228049854,3.903162183013
"WBGene00119354",0.972198482072298,2.44588502037268,1.13560003368142,-0.0454627534551656,-0.219573599103374
"WBGene00119356",4.48517774240652,2.8787945981095,3.64488200883051,3.59151054715082,2.75748777519092
"WBGene00119355",9.28041918505324,4.11117293346612,2.1859063669587,5.36429842411951,0.94463604274553
"WBGene00119358",4.04484540258009,4.96559379896726,5.44568302285386,4.3895271046329,4.9131112783745
"WBGene00119357",4.09232928853638,3.37625273164949,4.1171428926785,3.66224651715644,4.27103807161673
"WBGene00119360",2.82179268285839,0.80508566668733,-0.427092041567332,-1.04584201487585,-1.44664834020296
"WBGene00119361",-0.0750377463584799,-0.81211118016719,-0.899319782435759,-2.46214443944264,-3.04811967952493
"WBGene00119362",5.39080513143821,4.98360662693156,5.13785902509585,5.71978102683588,3.63454233086514
"WBGene00119363",7.16981932493491,6.4939508747926,5.16315793526399,6.54268998322826,4.92873031522505
"WBGene00119364",3.66507842200351,3.14885945376035,3.43011459764873,0.414072282813777,3.9421616814677
"WBGene00119365",7.54100953836917,7.8192023693328,8.71969493326849,7.4730756959272,8.20317594359027
"WBGene00119370",5.8515481201567,2.07546934283904,3.30437059418372,5.09445700570045,3.9650651684446
"WBGene00119373",2.42426248798977,-2.10121688288049,-3.04811967952493,0.124504381991231,-1.81156529056744
"WBGene00119375",-0.386045134114831,-2.49833730150301,-2.39512274618428,-2.46214443944264,-3.04811967952493
"WBGene00119374",2.58781389217768,6.51001911473261,5.62834335586523,6.10211598420041,6.30221534694145
"WBGene00119378",3.16307290368094,2.54625616995773,5.20706670759378,-1.04584201487585,-1.81156529056744
"WBGene00119377",2.0762051019513,7.56695757752413,11.3190033675647,7.4158820191061,7.82700733489716
"WBGene00119376",4.52609748077305,3.91058444645903,4.23847381094646,4.91490616000383,4.38298831129723
"WBGene00119379",5.34416535420071,5.80822264468353,5.66815826330232,5.37697233217505,6.01635971131917
"WBGene00119380",6.04194527332398,5.89507757198164,6.04602921116498,7.30971443656738,5.62636724875986
"WBGene00119382",3.77586664210219,-0.676621097530429,0.450611455691984,0.202524634257674,-0.219573599103374
"WBGene00119385",7.38132592913276,5.92468185580277,5.9540020296657,6.96753801114488,7.03949595785799
