"","EE-a","L2-a","L2-b","L4-a","YA_female-a","YA_male-a"
"WBGene00051212",0.872679258042934,-3.41013126482676,1.30999400919827,2.01784935916977,-0.934564725285989,0.059434095958812
"WBGene00051213",4.58198709201675,9.24171109507939,8.33267105638853,9.77036789168864,8.88673202134116,9.35777513309184
"WBGene00051220",-1.96065237095875,-3.41013126482676,-0.344683135077186,-3.41013126482676,-2.47476859530584,-0.815876787042818
"WBGene00072597",2.6574661991026,2.89642514859973,4.74379433487058,3.80106693685505,3.99746531075265,3.56340586062117
"WBGene00051224",2.88652267063665,8.32696535899629,5.64442453332269,7.41936411648375,4.21865444773738,4.34627438970403
"WBGene00051225",3.69584442383861,2.32054741464866,3.30119312330653,3.31952932556237,3.58267598386715,3.2333760231725
"WBGene00051226",1.5576894737357,4.46918494676777,3.91377588697329,4.16147180178226,3.24671771037215,3.33851743575854
"WBGene00051229",2.84897355757051,6.72067176238911,6.22581157443261,6.44493309106022,5.00096498289046,5.45184446657219
"WBGene00077833",0.784502570509943,2.89642514859973,2.11694626442189,3.00099571516213,0.594741015584343,1.32071282090769
"WBGene00051235",3.04198133655242,3.30689872122648,3.58911824021459,4.16147180178226,10.0362995323239,5.3393195291693
"WBGene00051237",-0.9205240359045,1.34746343190332,2.51016054776365,-3.41013126482676,-0.206719935562608,2.75784232529366
"WBGene00051241",-3.41013126482676,1.34746343190332,3.06820156344947,3.00099571516213,5.17556724148615,3.43651405742668
"WBGene00051243",1.68491963398192,2.32054741464866,5.07868970457371,2.01784935916977,3.38943438432494,3.38133356099806
"WBGene00051248",-1.96065237095875,-3.41013126482676,-2.10313655764257,1.05097724873048,2.91035555379989,2.74332659519201
"WBGene00051251",1.21386915774208,1.91453783243298,2.7668692994315,2.59159800166574,1.46188535410753,1.4335124253185
"WBGene00051255",2.67596522937633,-3.41013126482676,0.645334464050451,-3.41013126482676,-0.525220967935579,-0.037497571628368
"WBGene00051256",0.0621027116056941,1.34746343190332,2.85799623540673,-3.41013126482676,3.77584281595749,3.11433606492116
"WBGene00051257",4.65684848803619,-3.41013126482676,3.494654153051,2.01784935916977,3.07368479242278,2.77221345849353
"WBGene00077866",-0.423834034545418,2.32054741464866,0.695615081414018,-3.41013126482676,1.46188535410753,0.693873460789827
"WBGene00051258",-0.848251395325404,1.34746343190332,2.51716762472489,2.59159800166574,1.72794284019752,1.93293281249378
"WBGene00051260",5.29291072761888,3.30689872122648,4.36396405150039,2.01784935916977,1.1354107280199,1.06461704001811
"WBGene00051261",2.66056589034235,3.30689872122648,2.96948065448824,3.99249448154079,2.59907718245203,2.79350525574755
"WBGene00051263",1.16231799689391,2.89642514859973,1.80968369569346,1.05097724873048,1.63133059183185,1.35930096833531
"WBGene00051264",1.66035542491913,6.50406902268162,5.45672992291544,5.47884234132853,4.49379604051037,4.62393147883503
"WBGene00051268",-3.41013126482676,-3.41013126482676,1.22695408948459,-3.41013126482676,-1.19306026150854,-0.037497571628368
"WBGene00051280",-2.75291998425419,1.34746343190332,2.08900270863088,-3.41013126482676,0.674485641864847,1.73438841398271
"WBGene00051281",0.615901134589545,7.08853303318213,6.60985752184533,7.08297628758788,6.90215844557534,6.77548223939367
"WBGene00051284",0.666116575876722,3.30689872122648,2.97966233472656,-3.41013126482676,2.64928316930347,2.67613544253317
"WBGene00077875",-2.75291998425419,-3.41013126482676,1.17473455578763,-3.41013126482676,0.420670042028116,1.35930096833531
"WBGene00051287",2.59403134015592,4.30002564554654,5.23242154655816,3.80106693685505,2.85152777357012,3.81178227273103
"WBGene00051288",7.7629993803273,9.22998363251007,7.82385220183913,9.55017792851004,8.68174313653162,8.46172184984808
"WBGene00077790",-0.372241102567548,3.30689872122648,3.00978320965789,2.59159800166574,2.47093565694374,3.57410844230671
"WBGene00051289",3.64510676612977,4.10836444254951,3.8774808766644,5.15767483953168,1.70913105031679,1.88083416926154
"WBGene00051291",-0.9205240359045,2.32054741464866,2.87990616859681,1.05097724873048,0.821857147263354,2.14656621055945
"WBGene00051298",0.64122732337731,4.10836444254951,4.01748419019886,4.16147180178226,3.65817637291416,4.04959571847235
"WBGene00051299",4.68604245316136,6.61643160665677,6.10892538068255,5.51048504357212,6.72270327185601,6.55893196329154
"WBGene00051303",-1.68411745470159,-3.41013126482676,-0.154527189421377,-3.41013126482676,0.955560098910612,0.917221226038924
"WBGene00051304",-0.27428084428467,1.34746343190332,1.97147959445258,2.59159800166574,-0.279998353326555,-1.45433619908191
"WBGene00077837",-3.04442121322715,1.34746343190332,-2.28619714258,-3.41013126482676,-3.41013126482676,-2.62787021678121
"WBGene00051307",-2.51053261333964,-3.41013126482676,0.300140490783764,-3.41013126482676,-1.19306026150854,-2.35373071637999
"WBGene00051308",4.75726697449773,8.97638371816148,8.42468708066998,7.76592621841908,0.0540252308639279,0.355076971713276
"WBGene00051309",-0.423834034545418,-3.41013126482676,2.03143751189607,2.01784935916977,1.81848937903901,-0.141413982073378
"WBGene00077899",-1.16199014103091,-3.41013126482676,-0.753103867852726,-3.41013126482676,-2.47476859530584,-3.41013126482676
"WBGene00051311",2.63242595620923,2.89642514859973,3.66993699298518,2.01784935916977,2.68822674969447,3.61654032589923
"WBGene00051313",-1.81576927548796,1.91453783243298,2.38551796995553,-3.41013126482676,-0.00687734396268242,0.99280068829958
"WBGene00051318",-2.75291998425419,-3.41013126482676,0.199191661831927,-3.41013126482676,-0.357198884981518,-0.653408305266882
"WBGene00051319",7.16331291005187,6.61643160665677,7.63122961711241,6.57033415277116,7.32510769887445,7.28105068675831
"WBGene00051320",-3.41013126482676,-3.41013126482676,-2.4959084915648,-3.41013126482676,6.3532824748818,2.72866332883026
"WBGene00051321",-0.590702495845575,-3.41013126482676,2.55170142911443,-3.41013126482676,2.60925912718562,1.17689596136238
