"","EE-SRS267689","L2-SRS183252","L2-SRS267690","L4-SRS183253","YA_female-SRS267691","YA_male-SRS267692"
"WBGene00051212",0.807817668106982,-0.706881826920514,1.26255604767966,2.15386670255692,-1.15012064148686,-0.0515246428788191
"WBGene00051213",4.57713018015569,9.2429448838386,8.33231234509914,9.77102802566622,8.88651089680952,9.3576057210887
"WBGene00051220",-2.50296986917518,-0.706881826920514,-0.499646837985568,-1.01605829888539,-3.22050996937826,-1.02643366191599
"WBGene00072597",2.63894075609754,2.99355789122058,4.73946961267765,3.84192269624218,3.99089166804021,3.55396137335546
"WBGene00051224",2.87073187543623,8.32929178563297,5.64210970423322,7.42273355369287,4.21301705343672,4.34079277989994
"WBGene00051225",3.68685468970484,2.4630431745218,3.28940726732909,3.37625912389337,3.57390589697185,3.2214938515276
"WBGene00051226",1.51768960139091,4.50257153870844,3.90607862777759,4.19339506674356,3.23563906526974,3.32747363750244
"WBGene00051229",2.83276402523721,6.72774640071621,6.22426501427403,6.4515472511976,4.99768997431648,5.44929976905041
"WBGene00077833",0.715453649958323,2.99355789122058,2.09002266541312,3.07140454236495,0.523651126192153,1.27545667973483
"WBGene00051235",3.02781159339491,3.38058101432983,3.57947187913203,4.19339506674356,10.036199977433,5.33656819403822
"WBGene00051237",-1.15901546795782,1.61504626796685,2.48970591781492,-1.01605829888539,-0.33298469863667,2.7412941860209
"WBGene00051241",-6.20340958731627,1.61504626796685,3.05434001283172,3.07140454236495,5.17266594497055,3.42619812461597
"WBGene00051243",1.64833945409979,2.4630431745218,5.07526199807166,2.15386670255692,3.37940287280887,3.37061391277517
"WBGene00051248",-2.50296986917518,-0.706881826920514,-2.71264056131977,1.30586979600197,2.89635378831264,2.72661014026379
"WBGene00051251",1.16291262692954,2.10047309513709,2.74976875711743,2.6843814192557,1.42334622039647,1.39170974823068
"WBGene00051255",2.65767731867912,-0.706881826920514,0.569394806444083,-1.01605829888539,-0.684457069138047,-0.156494202480362
"WBGene00051256",-0.0536624678115896,1.61504626796685,2.84194829035787,-1.01605829888539,3.76817471739391,3.10142727995978
"WBGene00051257",4.65223757871099,-0.706881826920514,3.48435268332072,2.15386670255692,3.06118828072057,2.75583027917878
"WBGene00077866",-0.588699743201063,2.4630431745218,0.622343686393042,-1.01605829888539,1.42334622039647,0.623379983155135
"WBGene00051258",-1.07412657037131,1.61504626796685,2.49681280430918,2.6843814192557,1.69596667505946,1.90348790234787
"WBGene00051260",5.28994553417864,3.38058101432983,4.358334157142,2.15386670255692,1.08691855581399,1.01040310626438
"WBGene00051261",2.6420804636281,3.38058101432983,2.95463229288613,4.02833582047306,2.58168324756357,2.77736344072843
"WBGene00051263",1.10947336796808,2.99355789122058,1.77629505162761,1.30586979600197,1.59711328813317,1.3152576877928
"WBGene00051264",1.62313889997464,6.51228669354165,5.45409313994743,5.4917363413133,4.48913908962256,4.61941108095219
"WBGene00051268",-6.20340958731627,-0.706881826920514,1.17665597427401,-1.01605829888539,-1.45497522301528,-0.156494202480362
"WBGene00051280",-3.88148149242891,1.61504626796685,2.06154749680264,-1.01605829888539,0.607309055239063,1.7005478436776
"WBGene00051281",0.538057399084875,7.09401807299979,6.60867261772073,7.08722950952663,6.90128253639096,6.77446623800432
"WBGene00051284",0.591006279033834,3.38058101432983,2.96491893212317,-1.01605829888539,2.63248761823506,2.65861716321168
