"","geneID","EE-SRS266838","L4-SRS266839","YA_female-SRS266840","YA_male-SRS266841","geneName","WormBaseID","Description","InterPro","GS1_homologID","GS1_percent_homology","GS2_homologID","GS2_percent_homology","GS3_homologID","GS3_percent_homology","GS4_homologID","GS4_percent_homology"
"1","WBGene00138730",0,0,0,0,"CBN00005","CBN00005","G_PROTEIN_RECEP_F1_2 domain-containing protein","7TM GPCR, serpentine receptor class a (Sra)",NA,NA,NA,NA,"CRE12130 | WBGene00084606",26.2673,NA,NA
"2","WBGene00138735",0,0.0586980829763732,0,0,"CBN00010","CBN00010","Nuclear transport factor 2 family protein","",NA,NA,NA,NA,NA,NA,NA,NA
"3","WBGene00138736",0,0.469584663810985,0,0.521068492629616,"CBN00011","CBN00011","Transmembrane protein","",NA,NA,NA,NA,NA,NA,NA,NA
"4","WBGene00138738",0.0579297768872298,0.0586980829763732,0,0,"CBN00013","CBN00013","Serpentine Receptor, class H","7TM GPCR, serpentine receptor class h (Srh)","srh-283 | WBGene00005488",50,"CBG30899 | WBGene00271502",25.9615,NA,NA,NA,NA
"5","WBGene00138740",0,0.0586980829763732,0,0.260534246314808,"Cbn-str-230","CBN00015","Seven TM Receptor","7TM GPCR, serpentine receptor class r (Str)","str-230 | WBGene00006261",47.0085,"CBG22903 | WBGene00041356",35.8974,"CRE08675 | WBGene00056551",41.0256,"CJA03630 | WBGene00122834",13.9601
"6","WBGene00138745",0,0,0,0,"CBN00020","CBN00020","Reverse transcriptase domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"7","WBGene00138750",0,0,0,0,"CBN00025","CBN00025","Sushi domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"8","WBGene00138762",0.144824442218074,0.234792331905493,0.134440116070219,0.260534246314808,"CBN00037","CBN00037","","",NA,NA,NA,NA,NA,NA,NA,NA
"9","WBGene00138769",0.0289648884436149,0.528282746787359,0,0.390801369472212,"CBN00044","CBN00044","RING-type domain-containing protein","Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type, Zinc finger, RING-type, conserved site",NA,NA,NA,NA,"CRE19492 | WBGene00069773",26.8608,NA,NA
"10","WBGene00138775",0.0579297768872298,0.117396165952746,0,0,"CBN00050","CBN00050","Transmembrane protein","7TM GPCR, serpentine receptor class z (Srz)",NA,NA,NA,NA,NA,NA,NA,NA
"11","WBGene00138777",0.173789330661689,0.0586980829763732,0,0,"CBN00052","CBN00052","WD_REPEATS_REGION domain-containing protein","WD40/YVTN repeat-like-containing domain superfamily, WD40-repeat-containing domain superfamily, WD repeat-containing protein 89","T18D3.1 | WBGene00011820",63.3508,NA,NA,"CRE14780 | WBGene00051133",65.9686,"CJA09565 | WBGene00128769",62.3037
