"","geneID","EE_028-20120223_EMB-0","EE_118-20120223_EMB-60","EE_118-20120223_EMB-90","EE_199-20120223_EMB-150","EE_378-20120223_EMB-300","EE_467-20120223_EMB-390","EE_574-20120223_EMB-480","EE_674-20120223_EMB-570","EE_674-20120223_EMB-600","EE_285-20120411_EMB-180","EE_199-20120419_EMB-120","EE_285-20120419_EMB-180","EE_378-20120419_EMB-270","EE_467-20120419_EMB-330","EE_574-20120419_EMB-420","geneName","WormBaseID","Description","InterPro","GS1_homologID","GS1_percent_homology","GS2_homologID","GS2_percent_homology","GS3_homologID","GS3_percent_homology","GS4_homologID","GS4_percent_homology"
"1","WBGene00000015",0,0.0638079961245576,0.0561647433237531,0,0,0.293106923867015,0.0640625127124049,0.215752430127497,0.214917356396163,0,0,0,0,0,0,"abf-4","Y38H6C.22","AntiBacterial Factor related","","abf-4 | WBGene00000015",NA,"abf-4 | WBGene00000015",NA,NA,NA,NA,NA
"2","WBGene00000028",0,0,0,0,0.0735113690478028,0,0,0,0,0,0,0.168743306163974,0,0.111127175161654,0,"abu-5","Y105C5A.4","Activated in Blocked Unfolded protein response","Protein of unknown function DUF1096","abu-5 | WBGene00000028",NA,"abu-5 | WBGene00000028",84.1791,"CBN22195 | WBGene00160920",84.1791,"CRE12827 | WBGene00065084",79.7015
"3","WBGene00000032",0,0,0.0561647433237531,0.10774946546837,0,0,0,0.0719174767091656,0.0716391187987209,0.106302686268882,0.0940553271056166,0,0,0,0.175190609573098,"abu-9","R09F10.2","Activated in Blocked Unfolded protein response; Prion-like-(Q/N-rich)-domain-bearing protein","","abu-9 | WBGene00000032",NA,"abu-9 | WBGene00000032",88.6243,"Cbn-pqn-57 | WBGene00148671",91.7989,"Cre-pqn-57.1 | WBGene00065483",89.9471
"4","WBGene00000555",0,0,0,0,0,0,0.0640625127124049,0,0.573112950389767,0,0,0,0,0,0.262785914359647,"cnc-1","R09B5.2","CaeNaCin (Caenorhabditis bacteriocin)","","cnc-1 | WBGene00000555",NA,"cnc-1 | WBGene00000555",NA,NA,NA,NA,NA
"5","WBGene00000559",0.104580139499448,0,0,0,0.0735113690478028,0,0,0.0719174767091656,0.0716391187987209,0,0,0,0,0,0,"cnc-5","R09B5.10","CaeNaCin (Caenorhabditis bacteriocin)","","cnc-5 | WBGene00000559",NA,"cnc-5 | WBGene00000559",NA,NA,NA,NA,NA
"6","WBGene00000700",0,0,0,0.10774946546837,0,0,0,0,0,0,0,0.0843716530819868,0,0,0.0875953047865491,"col-126","F54D1.2","Col_cuticle_N domain-containing protein","Nematode cuticle collagen, N-terminal","col-126 | WBGene00000700",NA,"col-126 | WBGene00000700",92.1769,"CBN08239 | WBGene00146964",92.8571,"CRE12586 | WBGene00062557",95.2381
"7","WBGene00000859",0,0,0,0.0538747327341852,0,0,0,0.0719174767091656,0.0716391187987209,0,0,0,0,0,0,"cwp-1","C37H5.10","Coexpressed With Polycystins","","cwp-1 | WBGene00000859",NA,"cwp-1 | WBGene00000859",NA,NA,NA,NA,NA
"8","WBGene00000860",0.052290069749724,0.0638079961245576,0,0,0,0,0.12812502542481,0.0719174767091656,0.358195593993604,0,0,0,0,0.111127175161654,0.175190609573098,"cwp-2","C37H5.11","Coexpressed With Polycystins","","cwp-2 | WBGene00000860",NA,"cwp-2 | WBGene00000860",NA,NA,NA,NA,NA
"9","WBGene00002015",0,0,0.0561647433237531,0,0,0,0,0,0.286556475194883,0,0.0940553271056166,0,0,0,0,"hsp-16.1","T27E4.8","Heat shock protein Hsp-16.1/Hsp-16.11","Alpha crystallin/Small heat shock protein, animal type, Alpha crystallin/Hsp20 domain, HSP20-like chaperone","hsp-16.1 | WBGene00002015",NA,"hsp-16.1 | WBGene00002015",73.7931,"CBN05402 | WBGene00144127",80,"CRE19380 | WBGene00068604",68.2759
"10","WBGene00002099",0,0,0,0,0,0,0.192187538137215,0.0719174767091656,0.286556475194883,0,0,0,0.128436330065442,0,0,"ins-16","Y39A3A.5","INSulin related","Insulin-like superfamily","ins-16 | WBGene00002099",NA,"ins-16 | WBGene00002099",NA,NA,NA,NA,NA
"11","WBGene00002103",0.104580139499448,0,0,0,0.0735113690478028,0.293106923867015,0,0,0,0,0,0,0,0,0.350381219146196,"ins-20","ZK84.7","INSulin related","Nematode insulin-like peptide, beta type","ins-20 | WBGene00002103",NA,"ins-20 | WBGene00002103",33.0189,NA,NA,"Cre-ins-20 | WBGene00084766",32.0755
"12","WBGene00002104",0,0,0,0,0,0,0.192187538137215,0,0,0,0,0,0,0.111127175161654,0.262785914359647,"ins-21","M04D8.1","Probable insulin-like peptide alpha-type 1","","ins-21 | WBGene00002104",NA,"ins-21 | WBGene00002104",53.9474,NA,NA,"Cre-ins-21 | WBGene00054969",60.5263
"13","WBGene00002108",0,0,0,0,0,0.146553461933508,0.25625005084962,0,0,0,0,0,0,0,0,"ins-25","ZC334.8","INSulin related","Nematode insulin-like peptide, beta type, Insulin-like superfamily","ins-25 | WBGene00002108",NA,"ins-25 | WBGene00002108",NA,NA,NA,NA,NA
"14","WBGene00002115",0,0,0,0.0538747327341852,0.441068214286817,0.0732767309667538,0,0,0,0,0,0,0.128436330065442,0,0.175190609573098,"ins-32","Y8A9A.6","INSulin related","Nematode insulin-like peptide, beta type, Insulin-like superfamily","ins-32 | WBGene00002115",NA,"ins-32 | WBGene00002115",NA,NA,NA,NA,NA
"15","WBGene00003462",0,0.127615992249115,0,0,0,0,0.192187538137215,0,0,0.212605372537764,0,0.168743306163974,0,0,0.0875953047865491,"msp-74","F09C12.7","MSP domain-containing protein","Major sperm protein (MSP) domain, PapD-like superfamily, Immunoglobulin-like fold","msp-74 | WBGene00003462",NA,"msp-74 | WBGene00003462",NA,"CBN22493 | WBGene00161218",79.2208,"CRE05785 | WBGene00053160",90.9091
