"","geneID","EE_0-SRS004859","EE_30-SRS269390","EE_60-SRS269389","EE-210-SRS174229","EE-240-SRS001790","EE-300-SRS150938","EE-330-SRS001791","EE-360-SRS004864","EE-390-SRS003000","EE-420-SRS174140","EE-450-SRS001789","EE-480-SRS178501","EE-510-SRS266278","EE-540-SRS266272","EE-570-SRS266261","EE-600-SRS266262","EE-630-SRS266263","EE-660-SRS266264","EE-690-SRS266273","EE-720-SRS266279","geneName","WormBaseID","Description","InterPro","GS1_homologID","GS1_percent_homology","GS2_homologID","GS2_percent_homology","GS3_homologID","GS3_percent_homology","GS4_homologID","GS4_percent_homology"
"1","WBGene00000013",0,0,0.103915251293316,0,0.0694908150862614,0.0964253716559259,0.0541944293437689,0,0.0569619265343806,0.0977877095321699,0.0629105265730604,0.0364699136706086,0,0.0721105622215361,0.14464982429205,0.0854319003313861,0,0,0.0474812006495238,0,"abf-2","C50F2.10","Antibacterial factor-related peptide 2","Antibacterial factor-related peptide, Antibacterial factor-related peptide superfamily","Cbr-abf-2 | WBGene00032998",71.7647,"Cbn-abf-2 | WBGene00155076",80,"CRE01365 | WBGene00081061",54.1176,NA,NA
"2","WBGene00000014",0,0,0,0,0.277963260345046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abf-3","F54B8.5","AntiBacterial Factor related","",NA,NA,NA,NA,NA,NA,NA,NA
"3","WBGene00000015",0,0,0,0,0.277963260345046,0.048212685827963,0,0,0.113923853068761,0,0,0,0,0.036055281110768,0,0,0,0,0,0,"abf-4","Y38H6C.22","AntiBacterial Factor related","",NA,NA,NA,NA,NA,NA,NA,NA
"4","WBGene00000028",0,0,0,0,0.138981630172523,0,0,0.105365506620536,0,0,0,0,0,0,0,0,0,0,0,0,"abu-5","Y105C5A.4","Activated in Blocked Unfolded protein response","Protein of unknown function DUF1096","CBG09623 | WBGene00031181",84.1791,"CBN22195 | WBGene00160920",84.1791,"CRE12827 | WBGene00065084",79.7015,"CJA33782 | WBGene00209629",70.7463
"5","WBGene00000032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0802792658766197,"abu-9","R09F10.2","Activated in Blocked Unfolded protein response; Prion-like-(Q/N-rich)-domain-bearing protein","","Cbr-pqn-57 | WBGene00041237",88.6243,"Cbn-pqn-57 | WBGene00148671",91.7989,"Cre-pqn-57.1 | WBGene00065483",89.9471,NA,NA
"6","WBGene00000108",0,0,0,0,0.0694908150862614,0.289276114967778,0,0,0,0,0,0,0,0,0,0.0854319003313861,0.13812972218038,0.156315365468255,0.0474812006495238,0,"alh-2","K04F1.15","Aldedh domain-containing protein","Aldehyde dehydrogenase domain, Aldehyde dehydrogenase, cysteine active site, Aldehyde/histidinol dehydrogenase, Aldehyde dehydrogenase, N-terminal, Aldehyde dehydrogenase, C-terminal, Aldehyde dehydrogenase, glutamic acid active site",NA,NA,NA,NA,NA,NA,NA,NA
"7","WBGene00000171",0,0,0.103915251293316,0,0,0,0,0,0,0,0.0629105265730604,0,0,0,0,0,0.0690648610901902,0.0781576827341277,0,0,"aqp-3","Y69E1A.7","AQuaPorin or aquaglyceroporin related","Major intrinsic protein, Major intrinsic protein, conserved site, Aquaporin-like","Cbr-aqp-3 | WBGene00028320",85.5107,"Cbn-aqp-3.1 | WBGene00159526",86.4608,"CRE15828 | WBGene00074735",67.9335,"Cjp-aqp-3 | WBGene00132592",68.6461
"8","WBGene00000551",0,0,0,0,0,0,0,0.105365506620536,0,0,0,0,0,0.036055281110768,0,0,0,0,0,0,"clx-1","C50F7.2","CoLlagen sequence X-hybridizing","",NA,NA,NA,NA,NA,NA,NA,NA
"9","WBGene00000555",0,0,0,0,0.138981630172523,0,0,0,0,0,0,0,0,0,0,0,0.0690648610901902,0,0,0.160558531753239,"cnc-1","R09B5.2","CaeNaCin (Caenorhabditis bacteriocin)","",NA,NA,NA,NA,NA,NA,NA,NA
"10","WBGene00000559",0,0,0,0,0.277963260345046,0,0,0.0526827533102681,0,0,0,0,0,0,0,0,0,0,0,0,"cnc-5","R09B5.10","CaeNaCin (Caenorhabditis bacteriocin)","",NA,NA,NA,NA,NA,NA,NA,NA
