"","geneID","Dauer-SRS004859","Dauer-SRS269390","Dauer-SRS269389","Dauer-SRS269391","L1-SRS003005","L1-SRS151153","L2-SRS001788","L2-SRS174229","L3-SRS001790","L3-SRS150938","L4-SRS001791","L4-SRS004864","L4_male-SRS003000","L4_male-SRS174140","YA-SRS001789","YA-SRS178501","EE_028-SRS311761","EE_028-SRS931097","EE_118-SRS931098","EE_118-SRS931099","EE_199-SRS931095","EE_378-SRS932422","EE_467-SRS932420","EE_574-SRS932425","EE_674-SRS932432","EE_674-SRS932431","EE_285-SRS932437","EE_199-SRS932475","EE_285-SRS932477","EE_378-SRS932479","EE_467-SRS932481","EE_574-SRS932483","DauerEntry-SRS004860","DauerEntry-SRS269109","DauerEntry-SRS174141","DauerEntry-SRS269110","DauerExit-SRS151144","DauerExit-SRS269108","DauerExit-SRS269111","geneName","WormBaseID","Description","InterPro","GS1_homologID","GS1_percent_homology","GS2_homologID","GS2_percent_homology","GS3_homologID","GS3_percent_homology","GS4_homologID","GS4_percent_homology"
"1","WBGene00000028",0,0.222607481570327,0.0404187144387309,0.0163484009024187,0,0.042337441090626,0.184506088885439,0,0.0411434742479498,0.0181172161419033,0.149949350858014,0.042879710448752,0,0,0,0,0,0,0,0,0,0.0735113690478028,0,0,0,0,0,0,0.168743306163974,0,0.111127175161654,0,0,0,0,0,0.126211838746202,0,0,"abu-5","Y105C5A.4","Activated in Blocked Unfolded protein response","Protein of unknown function DUF1096","CBG09623 | WBGene00031181",84.1791,"CBN22195 | WBGene00160920",84.1791,"CRE12827 | WBGene00065084",79.7015,"CJA33782 | WBGene00209629",70.7463
"2","WBGene00000032",0,0,0.101046786096827,0.0980904054145119,0,0,0.0307510148142399,0,0.0411434742479498,0,0,0,0,0,0.0437896548166606,0,0,0,0,0.0561647433237531,0.10774946546837,0,0,0,0.0719174767091656,0.0716391187987209,0.106302686268882,0.0940553271056166,0,0,0,0.175190609573098,0,0,0,0,0,0,0,"abu-9","R09F10.2","Activated in Blocked Unfolded protein response; Prion-like-(Q/N-rich)-domain-bearing protein","","Cbr-pqn-57 | WBGene00041237",88.6243,"Cbn-pqn-57 | WBGene00148671",91.7989,"Cre-pqn-57.1 | WBGene00065483",89.9471,NA,NA
"3","WBGene00000700",0,0,0,0,0,0,0.215257103699679,0,0.452578216727447,0,0.149949350858014,0,0,0.0414088054085531,0,0,0,0,0,0,0.10774946546837,0,0,0,0,0,0,0,0.0843716530819868,0,0,0.0875953047865491,0.0359045245553377,0,0,0,0,0,0,"col-126","F54D1.2","Col_cuticle_N domain-containing protein","Nematode cuticle collagen, N-terminal","Cbr-col-126 | WBGene00028389",92.1769,"CBN08239 | WBGene00146964",92.8571,"CRE12586 | WBGene00062557",95.2381,"CJA08352 | WBGene00127556",81.9728
"4","WBGene00002015",0,0,0,0,0.579939482868855,0.028224960727084,0.0615020296284798,0,0.0411434742479498,0,0,0,0.0350287640447392,0,0,0,0,0,0,0.0561647433237531,0,0,0,0,0,0.286556475194883,0,0.0940553271056166,0,0,0,0,0,0,0.041814010528517,0,0,0,0,"hsp-16.1","T27E4.8","Heat shock protein Hsp-16.1/Hsp-16.11","Alpha crystallin/Small heat shock protein, animal type, Alpha crystallin/Hsp20 domain, HSP20-like chaperone","CBG04608 | WBGene00027247",73.7931,"CBN05402 | WBGene00144127",80,"CRE19380 | WBGene00068604",68.2759,"CJA32286 | WBGene00208133",33.7931
"5","WBGene00003521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"nas-2","F56A4.1","Zinc metalloproteinase nas-2","Peptidase M12A, Peptidase, metallopeptidase, Metallopeptidase, catalytic domain superfamily","Cbr-nas-3 | WBGene00038529",64.7059,"Cbn-nas-3 | WBGene00163977",64.7059,"Cre-nas-3.2 | WBGene00071266",66.1765,"Cjp-nas-3 | WBGene00126375",66.1765
"6","WBGene00004141",0,0,0.0606280716580963,0,0,0,0.153755074071199,0,0.0822869484958995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0732767309667538,0,0.287669906836662,0.0716391187987209,0,0,0,0,0,0.0875953047865491,0,0,0,0,0,0,0,"pqn-57","R09F10.7","Activated in Blocked Unfolded protein response; Prion-like-(Q/N-rich)-domain-bearing protein","","Cbr-pqn-57 | WBGene00041237",88.6243,"Cbn-pqn-57 | WBGene00148671",91.7989,"Cre-pqn-57.1 | WBGene00065483",89.9471,NA,NA
"7","WBGene00004158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437976523932745,0,0,0.041814010528517,0,0,0,0,"pqn-76","Y105C5A.3","Prion-like-(Q/N-rich)-domain-bearing protein","Protein of unknown function DUF1096","CBG09623 | WBGene00031181",83.8806,"CBN22195 | WBGene00160920",83.8806,"CRE12827 | WBGene00065084",79.7015,"CJA33782 | WBGene00209629",70.4478
"8","WBGene00004160",0,0,0,0,0,0.014112480363542,0,0,0,0,0,0.042879710448752,0,0.0414088054085531,0,0,0,0,0,0,0,0.0735113690478028,0.146553461933508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pqn-79","Y105C5A.6","Prion-like-(Q/N-rich)-domain-bearing protein","Protein of unknown function DUF1096","CBG09623 | WBGene00031181",83.8806,"CBN22195 | WBGene00160920",83.8806,"CRE12827 | WBGene00065084",79.7015,"CJA33782 | WBGene00209629",70.4478
"9","WBGene00004351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355574350952359,0.052290069749724,0.0638079961245576,0.0561647433237531,0.10774946546837,0,0,0.0640625127124049,0,0,0.106302686268882,0.0940553271056166,0,0,0,0,0,0,0,0,0,0,0,"rgs-8.1","F52D2.2","RGS domain-containing protein","RGS domain, RGS, subdomain 1/3, RGS domain superfamily, RGS, subdomain 2",NA,NA,NA,NA,NA,NA,NA,NA
"10","WBGene00004812",0,0,0,0,0,0,0.0615020296284798,0,0,0,0,0.042879710448752,0,0.0414088054085531,0,0,0,0,0,0,0,0,0.146553461933508,0.0640625127124049,0.143834953418331,0.214917356396163,0,0,0,0,0,0.175190609573098,0,0,0.041814010528517,0.0697923496138878,0,0.0979671809943669,0,"skr-6","Y37H2C.2","SKp1 Related (Ubiquitin ligase complex component)","S-phase kinase-associated protein 1-like, SKP1/BTB/POZ domain superfamily, SKP1 component, dimerisation, SKP1 component, POZ domain, S-phase kinase-associated protein 1, SKP1-like, dimerisation domain superfamily",NA,NA,NA,NA,NA,NA,NA,NA
