"","geneID","EE-SRS266350","L2-SRS266346","L4-SRS266347","Ad_female-SRS266349","Ad_male-SRS266348","geneName","WormBaseID","Description","InterPro","GS1_homologID","GS1_percent_homology","GS2_homologID","GS2_percent_homology","GS3_homologID","GS3_percent_homology","GS4_homologID","GS4_percent_homology"
"1","WBGene00119210",0,0.0604038103448411,0,0,0,"CJA00006","CJA00006","CMP/dCMP-type deaminase domain-containing protein","Cytidine and deoxycytidylate deaminase domain, Cytidine deaminase-like","Y47D3A.14 | WBGene00012927",59.0406,"CBG13218 | WBGene00034009",61.2546,"CBN06913 | WBGene00145638",14.3911,"CRE01105 | WBGene00063084",59.7786
"2","WBGene00119216",0,0.0604038103448411,0,0,0,"CJA00012","CJA00012","DDE_3 domain-containing protein","Ribonuclease H superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"3","WBGene00119218",0,0.120807620689682,0,0,0,"CJA00014","CJA00014","Rsm1 domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"4","WBGene00119222",0,0,0,0,0,"CJA00018","CJA00018","DUF4766 domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"5","WBGene00119226",0,0,0,0,0,"CJA00022","CJA00022","CUB_2 domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"6","WBGene00119235",0,0,0,0.122046050782019,0,"CJA00031","CJA00031","TIR domain-containing protein","",NA,NA,NA,NA,NA,NA,"CRE23823 | WBGene00073407",33.617
"7","WBGene00119239",0.128566408053194,0,0,0,0,"CJA00037","CJA00037","Chitin-binding type-2 domain-containing protein","Chitin binding domain, Cysteine-rich repeat, CC domain","chtb-1 | WBGene00010573",75.7785,"CBG10108 | WBGene00031583",47.4048,"CBN18362 | WBGene00157087",72.3183,"CRE25317 | WBGene00055117",70.5017
"8","WBGene00119244",0.385699224159582,0.0604038103448411,0.243872564635222,0.122046050782019,0,"CJA00041","CJA00041","7TM_GPCR_Srx domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"9","WBGene00119251",0.257132816106388,0.0604038103448411,0.121936282317611,0,0.122825316361167,"CJA00047","CJA00047","G_PROTEIN_RECEP_F1_2 domain-containing protein","7TM GPCR, serpentine chemoreceptor class i (Sri)",NA,NA,NA,NA,"CBN12405 | WBGene00151130",31.6384,"CRE18512 | WBGene00058128",45.7627
"10","WBGene00119273",0,0,0,0,0,"Cjp-maf-1","CJA00068","BZIP_Maf domain-containing protein","Basic leucine zipper domain, Maf-type, Transcription factor, Skn-1-like, DNA-binding domain superfamily, Transcription factor Maf family, Basic-leucine zipper domain superfamily","maf-1 | WBGene00077521",50.5,"Cbr-maf-1 | WBGene00077518",51.5,NA,NA,NA,NA
"11","WBGene00119277",0,0,0,0,0,"CJA00073","CJA00073","Chitin-binding type-2 domain-containing protein","Chitin-binding, type 1, Glycoside hydrolase family 18, catalytic domain, Glycosyl hydrolases family 18 (GH18) active site, Plant self-incompatibility S1, Chitinase II, Glycoside hydrolase superfamily, LysM domain, Chitinase insertion domain superfamily, LysM domain superfamily","lmd-5 | WBGene00020141",58.1148,"Cbr-lmd-4 | WBGene00024130",57.2131,"Cbn-lmd-4 | WBGene00147068",55,"Cre-lmd-4 | WBGene00053171",57.541
"12","WBGene00119276",0,0,0,0,0,"CJA00074","CJA00074","Myotubularin phosphatase domain-containing protein","Myotubularin-like, phosphatase domain, Protein-tyrosine phosphatase-like, Myotubularin family","mtm-10 | WBGene00021683",65.6036,"CBG03910 | WBGene00026673",64.4647,"CBN32778 | WBGene00194975",52.8474,NA,NA
"13","WBGene00119279",0,0,0,0,0,"CJA00075","CJA00075","CRC domain-containing protein","","ZC123.1 | WBGene00022517",80.1968,"CBG18553 | WBGene00037949",83.7638,"CBN05582 | WBGene00144307",81.9188,"CRE20799 | WBGene00060966",83.2718
"14","WBGene00119288",0,0,0,0,0,"CJA00084","CJA00084","Phospholipid scramblase","","F41E6.17 | WBGene00194909",59.7222,"CBG01471 | WBGene00024704",61.1111,"CBN06501 | WBGene00145226",56.9444,NA,NA
"15","WBGene00119289",0,0,0,0,0,"CJA00085","CJA00085","SKIP_SNW domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"16","WBGene00119293",0,0,0,0,0,"CJA00089","CJA00089","Col_cuticle_N domain-containing protein","","C34B2.11 | WBGene00016396",68.4931,"CBG12808 | WBGene00033699",69.863,NA,NA,"CRE28488 | WBGene00056223",67.8082
"17","WBGene00119302",0.128566408053194,0.120807620689682,0,0.122046050782019,0,"CJA00098","CJA00098","HTH_48 domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"18","WBGene00119303",0,0,0,0,0,"CJA00099","CJA00099","HTH_48 domain-containing protein","Mos1 transposase, HTH domain",NA,NA,NA,NA,NA,NA,NA,NA
"19","WBGene00119306",0.321416020132985,0.181211431034523,0.243872564635222,0,0.0614126581805837,"CJA00102","CJA00102","RRM domain-containing protein","Nucleotide-binding alpha-beta plait domain superfamily, RNA-binding domain superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"20","WBGene00119313",0.064283204026597,0.120807620689682,0,0,0,"CJA00109","CJA00109","Protein kinase domain-containing protein","Protein kinase-like domain superfamily, PAN2-PAN3 deadenylation complex subunit PAN3",NA,NA,NA,NA,NA,NA,NA,NA
"21","WBGene00119324",0.128566408053194,0.0604038103448411,0.121936282317611,0.122046050782019,0.122825316361167,"CJA00120","CJA00120","HTH_Tnp_Tc3_2 domain-containing protein","Ribonuclease H superfamily",NA,NA,NA,NA,NA,NA,"CRE24561 | WBGene00059604",30.1961
"22","WBGene00119329",0,0,0,0,0,"Cjp-rom-2","CJA00125","Rhomboid protease","EF-hand domain, EF-hand domain pair, Peptidase S54, rhomboid, metazoan, EF-Hand 1, calcium-binding site, Peptidase S54, rhomboid domain, Rhomboid-like superfamily","rom-2 | WBGene00004401",78.3422,"Cbr-rom-2 | WBGene00031524",79.1444,"Cbn-rom-2 | WBGene00190528",80.4813,"Cre-rom-2 | WBGene00055064",83.1551
"23","WBGene00119331",0.128566408053194,0,0,0,0,"CJA00127","CJA00127","CCHC-type domain-containing protein","Zinc finger, CCHC-type, Retrotransposon gag domain, Zinc finger, CCHC-type superfamily",NA,NA,NA,NA,"CBN07759 | WBGene00146484",42.1365,"CRE10755 | WBGene00074327",43.0267
"24","WBGene00119335",0,0,0,0,0,"CJA00132","CJA00132","IS6 family transposase","",NA,NA,NA,NA,NA,NA,NA,NA
"25","WBGene00119342",0.192849612079791,0,0,0,0,"CJA00138","CJA00138","G_PROTEIN_RECEP_F1_2 domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"26","WBGene00119346",0.064283204026597,0.362422862069047,0,0,0.491301265444669,"CJA00142","CJA00142","CCHC-type domain-containing protein","Zinc finger, CCHC-type",NA,NA,NA,NA,NA,NA,NA,NA
"27","WBGene00119348",0.771398448319164,0,0,0,0.122825316361167,"CJA00144","CJA00144","Col_cuticle_N domain-containing protein","Nematode cuticle collagen, N-terminal",NA,NA,NA,NA,NA,NA,NA,NA
"28","WBGene00119366",0,0,0,0,0,"Cjp-col-72","CJA00161","Col_cuticle_N domain-containing protein","Collagen triple helix repeat",NA,NA,NA,NA,"Cbn-col-72 | WBGene00142696",83.9161,NA,NA
"29","WBGene00119368",0,0,0,0,0,"Cjp-syp-2","CJA00163","BLOC-1-related complex subunit 5","AH/BAR domain superfamily","syp-2 | WBGene00006376",33.4975,"Cbr-syp-2 | WBGene00030842",38.9163,"Cbn-syp-2 | WBGene00150381",47.2906,NA,NA
"30","WBGene00119372",0.128566408053194,0.302019051724206,0.365808846952834,0.0610230253910096,0.0614126581805837,"Cjp-nucb-1","CJA00165","EF-hand domain-containing protein","EF-hand domain pair, EF-Hand 1, calcium-binding site, Nucleobindin","nucb-1 | WBGene00009674",81.6993,"Cbr-nucb-1 | WBGene00036893",79.5207,"Cbn-nucb-1 | WBGene00141956",79.085,"Cre-nucb-1 | WBGene00063115",81.4815
"31","WBGene00119403",0.128566408053194,0,0,0,0,"CJA00199","CJA00199","ZM domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
