"","geneID","EE-SRS267689","L2-SRS183252","L2-SRS267690","L4-SRS183253","YA_female-SRS267691","YA_male-SRS267692","geneName","WormBaseID","Description","InterPro","GS1_homologID","GS1_percent_homology","GS2_homologID","GS2_percent_homology","GS3_homologID","GS3_percent_homology","GS4_homologID","GS4_percent_homology"
"1","WBGene00077823",0,0,0.0262529761883353,0,0,0.0188876774841468,"CRE00005","CRE00005","Cortexin-2","",NA,NA,NA,NA,NA,NA,NA,NA
"2","WBGene00077870",0,0,0,0,0,0.188876774841468,"CRE00006","CRE00006","Transmembrane protein","","T26C11.8 | WBGene00044563",40.7407,NA,NA,"CBN16768 | WBGene00155493",22.6337,NA,NA
"3","WBGene00077894",0,0,0,0,0,0,"CRE00008","CRE00008","Transposase","",NA,NA,NA,NA,NA,NA,NA,NA
"4","WBGene00051238",0.276763313384372,0,0.350039682511138,0,0,0.236095968551835,"CRE00015","CRE00015","TGF_BETA_2 domain-containing protein","","C39D10.5 | WBGene00016532",38.7097,"CBG16843 | WBGene00036670",42.4731,"CBN32312 | WBGene00194277",37.0968,"CJA03091 | WBGene00122295",29.5699
"5","WBGene00051245",0.369017751179163,0,0,0,0,0,"CRE00018","CRE00018","DUF5033 domain-containing protein","","C54D2.6 | WBGene00045210",69.1964,"CBG16833 | WBGene00036665",78.125,"CBN03812 | WBGene00142537",81.25,NA,NA
"6","WBGene00051253",0,0,0,0,0.100284698732655,0.0944383874207342,"CRE00021","CRE00021","Tyrosine-protein phosphatase domain-containing protein","",NA,NA,NA,NA,"CBN22907 | WBGene00161632",28.436,NA,NA
"7","WBGene00051254",0.0461272188973954,0,0.0875099206277844,0,0.100284698732655,0,"CRE00022","CRE00022","MSP domain-containing protein","Major sperm protein (MSP) domain, PapD-like superfamily, Immunoglobulin-like fold",NA,NA,NA,NA,NA,NA,NA,NA
"8","WBGene00077886",0.0922544377947908,0,0,0,0,0,"CRE00023","CRE00023","Major sperm protein","Major sperm protein (MSP) domain, PapD-like superfamily, Immunoglobulin-like fold",NA,NA,NA,NA,NA,NA,NA,NA
"9","WBGene00051270",0.553526626768745,0,0,0,0,0,"CRE00034","CRE00034","SET domain-containing protein","SET domain, Post-SET domain, SET domain superfamily","met-1 | WBGene00016603",22.9167,NA,NA,"Cbn-set-12.1 | WBGene00152941",16.4062,"CJA42547 | WBGene00218395",11.7188
"10","WBGene00051271",0.0922544377947908,0,0.131264880941677,0,0.116831674023544,0.283315162262202,"CRE00035","CRE00035","SET domain-containing protein","SET domain, Post-SET domain, SET domain superfamily","met-1 | WBGene00016603",23.6915,NA,NA,"Cbn-set-12.1 | WBGene00152941",20.1102,"CJA42547 | WBGene00218395",11.5702
