"","geneID","EE-SRS255459","EE-SRS266343","L2-SRS183249","L2-SRS266344","L4-SRS183251","L4-SRS266345","YA-SRS255509","YA-SRS266342","geneName","WormBaseID","Description","InterPro","GS1_homologID","GS1_percent_homology","GS2_homologID","GS2_percent_homology","GS3_homologID","GS3_percent_homology","GS4_homologID","GS4_percent_homology"
"1","WBGene00023522",0,0.0441238639814825,0,0,0,0,0,0,"CBG00002","CBG00002","","","sna-1 | WBGene00020951",64.6552,"Cbn-sna-1 | WBGene00162190",67.2414,"Cre-sna-1 | WBGene00052212",68.9655,"Cjp-sna-1 | WBGene00126109",53.4483
"2","WBGene00023530",0.763729880490961,0.397114775833342,0,0.0478222649179403,0,0,0.0743127280239614,0.0636336412734924,"CBG00015","CBG00015","","",NA,NA,NA,NA,NA,NA,NA,NA
"3","WBGene00023532",0,0,0,0.0478222649179403,0,0.201942036173473,0.148625456047923,0.190900923820477,"CBG00017","CBG00017","","PAN-3 domain, C-type lectin-like/link domain superfamily, C-type lectin fold",NA,NA,"CBN03163 | WBGene00141888",37.7119,NA,NA,NA,NA
"4","WBGene00023544",0,0,0,0,0,0,0.0371563640119807,0,"CBG00034","CBG00034","Protein CBG00034; Protein CBG23653","",NA,NA,NA,NA,NA,NA,NA,NA
"5","WBGene00023551",0,0,0,0,0,0,0,0,"CBG00043","CBG00043","","Homeobox domain, Homeobox-like domain superfamily, Homeobox, conserved site, Homeobox domain, metazoa","mab-5 | WBGene00003102",85.1852,"Cbn-mab-5 | WBGene00143374",86.1111,"Cre-mab-5 | WBGene00064082",85.1852,"CJA31914 | WBGene00207761",76.8519
"6","WBGene00023561",0,0,0,0,0,0.252427545216841,0.0743127280239614,0,"CBG00061","CBG00061","","","C52G5.3 | WBGene00008261",63.1579,"CBN28966 | WBGene00190931",64.4737,"CRE24067 | WBGene00051173",65.7895,"CJA16705 | WBGene00135911",43.4211
"7","WBGene00023567",0,0.0441238639814825,0,0.191289059671761,0,0.605826108520419,0.0743127280239614,0,"Cbr-str-123","CBG00071","","7TM GPCR, serpentine receptor class r (Str)","str-123 | WBGene00006174",60.177,"Cbn-str-123 | WBGene00143914",40.708,"Cre-str-123 | WBGene00051167",66.3717,NA,NA
"8","WBGene00023568",0,0,0,0,0,0,0,0,"Cbr-str-124","CBG00072","","7TM GPCR, serpentine receptor class r (Str)","str-124 | WBGene00006175",61.9718,"Cbn-str-124 | WBGene00148880",55.493,"Cre-str-124 | WBGene00085533",70.1408,NA,NA
"9","WBGene00023570",0.176245357036376,0.132371591944447,0,0.765156238687045,0,0.30291305426021,0.0743127280239614,0,"Cbr-ilc-17.1","CBG00075","","Interleukin-17 family, Cystine-knot cytokine","ilc-17.1 | WBGene00011937",83.3333,NA,NA,"Cre-ilc-17.1 | WBGene00051165",83.7838,"Cjp-ilc-17.1 | WBGene00120903",84.6847
"10","WBGene00023578",0.176245357036376,0.220619319907412,0,0.478222649179403,0,0.100971018086737,0.0743127280239614,0,"Cbr-nhr-27","CBG00089","","Nuclear hormone receptor, ligand-binding domain, Zinc finger, nuclear hormone receptor-type, Zinc finger, NHR/GATA-type, Nuclear hormone receptor-like domain superfamily","nhr-27 | WBGene00008901",44.2478,NA,NA,"Cre-nhr-27 | WBGene00051157",63.4218,NA,NA
